,Vegetable_Name,year,month,Market_Price,Average_Retail_Price,Average_Shoping_Mall_Price
422,Dill Leaves,2023,3,11.741935483870968,14.435483870967742,16.758064516129032
423,Dill Leaves,2023,4,11.733333333333333,14.333333333333334,16.766666666666666
424,Dill Leaves,2023,5,12.7,15.5,18.05
425,Drumsticks,2022,1,136.66666666666666,165.5,194.83333333333334
426,Drumsticks,2022,2,139.28571428571428,168.75,198.60714285714286
427,Drumsticks,2022,3,121.29032258064517,146.75806451612902,172.88709677419354
428,Drumsticks,2022,4,47.333333333333336,57.35,67.48333333333333
429,Drumsticks,2022,5,42.58064516129032,51.645161290322584,60.79032258064516
430,Drumsticks,2022,6,52.666666666666664,63.833333333333336,75.11666666666666
431,Drumsticks,2022,7,38.70967741935484,47.064516129032256,55.306451612903224
432,Drumsticks,2022,8,37.74193548387097,45.79032258064516,53.83870967741935
433,Drumsticks,2022,9,68.0,82.45,97.05
434,Drumsticks,2022,10,87.09677419354838,105.51612903225806,124.2258064516129
435,Drumsticks,2022,11,96.0,116.3,136.96666666666667
436,Drumsticks,2022,12,76.45161290322581,92.6774193548387,109.06451612903226
437,Drumsticks,2023,1,107.09677419354838,129.67741935483872,152.70967741935485
438,Drumsticks,2023,2,109.64285714285714,132.80357142857142,156.35714285714286
439,Drumsticks,2023,3,109.03225806451613,131.98387096774192,155.48387096774192
440,Drumsticks,2023,4,79.33333333333333,96.13333333333334,113.15
441,Drumsticks,2023,5,76.0,92.2,108.4
442,Elephant Yam,2022,1,27.333333333333332,33.166666666666664,39.0
443,Elephant Yam,2022,2,27.214285714285715,32.964285714285715,38.92857142857143
444,Elephant Yam,2022,3,27.29032258064516,33.04838709677419,38.96774193548387
445,Elephant Yam,2022,4,27.733333333333334,33.63333333333333,39.56666666666667
446,Elephant Yam,2022,5,27.29032258064516,33.12903225806452,38.95161290322581
447,Elephant Yam,2022,6,24.466666666666665,29.533333333333335,34.96666666666667
448,Elephant Yam,2022,7,26.451612903225808,32.0,37.67741935483871
449,Elephant Yam,2022,8,26.64516129032258,32.29032258064516,37.96774193548387
450,Elephant Yam,2022,9,27.833333333333332,33.71666666666667,39.81666666666667
451,Elephant Yam,2022,10,27.451612903225808,33.25806451612903,39.306451612903224
452,Elephant Yam,2022,11,27.233333333333334,32.916666666666664,38.88333333333333
453,Elephant Yam,2022,12,27.129032258064516,32.83870967741935,38.806451612903224
454,Elephant Yam,2023,1,27.129032258064516,32.82258064516129,38.79032258064516
455,Elephant Yam,2023,2,24.928571428571427,30.160714285714285,35.714285714285715
456,Elephant Yam,2023,3,26.096774193548388,31.56451612903226,37.274193548387096
457,Elephant Yam,2023,4,26.533333333333335,32.166666666666664,37.9
458,Elephant Yam,2023,5,29.2,35.5,41.8
459,Fenugreek Leaves,2022,1,13.0,16.0,18.5
460,Fenugreek Leaves,2022,2,13.285714285714286,16.160714285714285,18.928571428571427
461,Fenugreek Leaves,2022,3,12.387096774193548,15.193548387096774,17.661290322580644
462,Fenugreek Leaves,2022,4,12.966666666666667,15.75,18.45
463,Fenugreek Leaves,2022,5,12.03225806451613,14.758064516129032,17.20967741935484
464,Fenugreek Leaves,2022,6,10.1,12.133333333333333,14.383333333333333
465,Fenugreek Leaves,2022,7,9.0,10.661290322580646,12.919354838709678
466,Fenugreek Leaves,2022,8,8.709677419354838,10.564516129032258,12.564516129032258
467,Fenugreek Leaves,2022,9,7.733333333333333,9.266666666666667,11.1
468,Fenugreek Leaves,2022,10,8.67741935483871,10.370967741935484,12.516129032258064
469,Fenugreek Leaves,2022,11,8.233333333333333,9.8,11.85
470,Fenugreek Leaves,2022,12,9.32258064516129,11.209677419354838,13.35483870967742
471,Fenugreek Leaves,2023,1,11.064516129032258,13.370967741935484,15.758064516129032
472,Fenugreek Leaves,2023,2,9.464285714285714,11.464285714285714,13.589285714285714
473,Fenugreek Leaves,2023,3,9.483870967741936,11.338709677419354,13.580645161290322
474,Fenugreek Leaves,2023,4,9.6,11.6,13.85
475,Fenugreek Leaves,2023,5,8.1,9.6,11.65
476,French Beans,2022,1,38.666666666666664,46.833333333333336,55.0
477,French Beans,2022,2,36.32142857142857,43.839285714285715,51.732142857142854
478,French Beans,2022,3,27.70967741935484,33.5,39.53225806451613
479,French Beans,2022,4,27.5,33.3,39.18333333333333
